place,address,latitude,longitude,country_geocoded,country_added,country
polytechnic university of bari,"Via Edoardo Orabona, 4, 70126 Bari BA, Italy",41.1090409,16.8783492,Italy,,Italy
national school of political science and public administration,"Bulevardul Expoziției 30A, București 012244, Romania",44.4744161,26.0591184,Romania,,Romania
franklin institute,"222 N 20th St, Philadelphia, PA 19103, USA",39.9582109,-75.1731347,United States,,United States
universita degli studi ecampus,"Via Isimbardi, 10, 22060 Novedrate CO, Italy",45.6968536,9.1209859,Italy,,Italy
university of baltimore,"1420 N Charles St, Baltimore, MD 21202, USA",39.3064956,-76.6177059,United States,,United States
sutter health,"131 Stony Cir, Santa Rosa, CA 95401, USA",38.4390925,-122.744498,United States,,United States
southwestern university,"1001 E University Ave, Georgetown, TX 78626, USA",30.6367076,-97.6625885,United States,,United States
world energy council,,,,,United Kingdom,United Kingdom
california state university northridge,"18111 Nordhoff St, Northridge, CA 91330, USA",34.2410366,-118.5276745,United States,,United States
university of atlanta,"5522 New Peachtree Rd #114, Chamblee, GA 30341, USA",33.8941881,-84.2955377,United States,,United States
doshisha university,"Sokokuji Monzencho, Kamigyo Ward, Kyoto, 602-8580, Japan",35.0300916,135.7606883,Japan,,Japan
ministry for the environment,"119 King St W 9th Floor, Hamilton, ON L8P 4Y7, Canada",43.2570067,-79.8712462,Canada,,Canada
office of environment and heritage,,,,,Australia,Australia
stetson university,"421 N Woodland Blvd, DeLand, FL 32723, USA",29.0349641,-81.3032406,United States,,United States
wetlands international,"Horapark 9, 6717 LZ Ede, Netherlands",52.0214018,5.6765136,Netherlands,,Netherlands
southern taiwan university of science and technology,"No. 1號, Nantai Street, Yongkang District, Tainan City, Taiwan 71005",23.0254548,120.2264886,Taiwan,,Taiwan
center for drug evaluation and research,"10001 New Hampshire Ave, Silver Spring, MD 20903, USA",39.0198051,-76.9756868,United States,,United States
hsbc,"3420 W Illinois Ave, Dallas, TX 75211, USA",32.719382,-96.8753529,United States,,United States
government of hong kong,"2 Tim Mei Ave, Admiralty, Hong Kong",22.2802975,114.16586,Hong Kong,,Hong Kong
indian institute of remote sensing,"4, Kalidas Rd, Hathibarkala, Dehradun, Uttarakhand 248001, India",30.3407597,78.0440265,India,,India
university of houston clear lake,"2700 Bay Area Blvd, Houston, TX 77058, USA",29.5806694,-95.0990951,United States,,United States
bangalore university,"Mysore Rd, Jnana Bharathi, Bengaluru, Karnataka 560056, India",12.9503878,77.5022224,India,,India
european university,,,,,Russia,Russia
moscow state pedagogical university,"Malaya Pirogovskaya Ulitsa, 1/1, Moskva, Russia, 119435",55.7323546,37.5764124,Russia,,Russia
medical university of warsaw,"Żwirki i Wigury 61, 02-091 Warszawa, Poland",52.2076428,20.983059,Poland,,Poland
birla institute of technology mesra,"Mesra, Jharkhand 835215, India",23.412305,85.439901,India,,India
university of antananarivo,"Présidence de l'Université d'Antananarivo: BP 566 Antananarivo, Antananarivo 101, Madagascar",-18.914032,47.5518117,Madagascar,,Madagascar
defence research and development organisation,,,,,India,India
anna university,"Anna University, Guindy, Chennai, Tamil Nadu 600025, India",13.0108831,80.2353768,India,,India
institut teknologi brunei,"Jalan Tungku Link, Mukim Gadong A, BE1410, Brunei",4.9773576,114.8999212,Brunei,,Brunei
central research institute for dryland agriculture,"ICAR-CRIDA, Santoshnagar, Jawahar Nagar Colony, Edi Bazaar, Hyderabad, Telangana 500059, India",17.3486895,78.5010898,India,,India
universidad santo tomas,"16401 NW 37th Ave, Miami Gardens, FL 33054, USA",25.9223793,-80.2564271,United States,,United States
st polten university of applied sciences,"Matthias Corvinus-Straße 15, 3100 St. Pölten, Austria",48.2138472,15.6318389,Austria,,Austria
university of alaska southeast,"11066 Auke Lake Way, Juneau, AK 99801, USA",58.3855214,-134.6407459,United States,,United States
international hiv aids alliance,"1195a City View St, Eugene, OR 97402, USA",44.0466606,-123.1275145,United States,,United States
emlyon business school,"23 Avenue Guy de Collongue, 69130 Écully, France",45.7864448,4.7641329,France,,France
pacific northwest university of health sciences,"Butler-Haney Hall, 200 University Pkwy, Yakima, WA 98901, USA",46.60281,-120.4558567,United States,,United States
european society of radiology,"1202 1/2 7th St NW, Rochester, MN 55901, USA",44.0317146,-92.481132,United States,,United States
sinhgad institute of technology,"Sinhagad campus, Kusgaon, Lonavla, Maharashtra 410401, India",18.7274856,73.4288267,India,,India
universidade estadual de londrina,"Rodovia Celso Garcia Cid - PR-445, Km 380 - Campus Universitário, Londrina - PR, 86057-970, Brazil",-23.3241912,-51.2003547,Brazil,,Brazil
south university of science and technology of china,"1088 Xueyuan Ave, Nanshan Qu, Shenzhen Shi, Guangdong Sheng, China, 518055",22.593969,113.99894,China,,China
forest trends,"1203 19th St NW, Washington, DC 20036, USA",38.9059191,-77.0431785,United States,,United States
canadian institute for advanced research,"661 University Ave, Toronto, ON M5G 1M1, Canada",43.6595629,-79.3897979,Canada,,Canada
hong kong shue yan university,"10 Wai Tsui Cres, North Point, Hong Kong",22.286178,114.197825,Hong Kong,,Hong Kong
prevention institute,"4315 Leimert Blvd, Los Angeles, CA 90008, USA",34.0052359,-118.330353,United States,,United States
georgia tech research institute,"400 10th St NW, Atlanta, GA 30318, USA",33.7810109,-84.4003993,United States,,United States
national remote sensing centre,"Near HAL, CRF Colony, Balanagar, Hyderabad, Telangana 500042, India",17.4677287,78.4486914,India,,India
yeshiva university,"500 W 185th St, New York, NY 10033, USA",40.850457,-73.9289675,United States,,United States
national root crops research institute,"Umudike Rd, Umudike, Nigeria",5.4798325,7.5412661,Nigeria,,Nigeria
dow agrosciences,"59729 200th St, Nevada, IA 50201, USA",42.064189,-93.50775,United States,,United States
southwest university of visual arts,"20 E Congress St, Tucson, AZ 85701, USA",32.221644,-110.970792,United States,,United States
university of kitakyushu,"4-chōme-2-1 Kitagata, Kokuraminami-ku, Kitakyushu, Fukuoka 802-8577, Japan",33.8441253,130.8785001,Japan,,Japan
economic research institute for asean and east asia,"Sentral Senayan ll, 6th Floor, JL. Asia Afrika, No. 8, Gelora Bung Karno, Senayan, RT.1/RW.3, Gelora, Tanahabang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia",-6.2234647,106.799094,Indonesia,,Indonesia
naresuan university,"Phitsanulok - Nakhon Sawan 99 Moo 9, Tha Pho Subdistrict Tambon Tha Pho, Amphoe Mueang Phitsanulok, Chang Wat Phitsanulok 65000, Thailand",16.7464756,100.1933015,Thailand,,Thailand
federal university of uberlandia,"Av. João Naves de Ávila, 2121 - Santa Mônica, Uberlândia - MG, 38408-100, Brazil",-18.918473,-48.2581763,Brazil,,Brazil
university of vic,"Carrer de la Sagrada Família, 7, 08500 Vic, Barcelona, Spain",41.9337609,2.2472819,Spain,,Spain
urban institute,"500 L'Enfant Plaza SW, Washington, DC 20024, USA",38.8833398,-77.0235989,United States,,United States
frederick university,"Mariou Agathaggelou 18, Limassol 3080, Cyprus",34.6958349,33.0160846,Cyprus,,Cyprus
european respiratory society,,,,,Switzerland,Switzerland
german statistical office,,,,,Germany,Germany
universidad catolica de oriente,"Sector 3, cra. 46 No. 40B 50​, Rionegro, Antioquia, Colombia",6.1502434,-75.3664488,Colombia,,Colombia
ghana atomic energy commission,Ghana,5.6778257,-0.2202415,Ghana,,Ghana
plekhanov russian university of economics,"Stremyannyy Pereulok, 36, Moskva, Russia, 115093",55.7273504,37.6276697,Russia,,Russia
sogn og fjordane university college,"Svanehaugvegen 1, 6812 Førde, Norway",61.4589582,5.8884831,Norway,,Norway
nigerian institute of medical research,"Medical Compound, 6 Edmund Cres, Yaba 100001, Lagos, Nigeria",6.5151504,3.3705765,Nigeria,,Nigeria
chapman university,"1 University Dr, Orange, CA 92866, USA",33.7931305,-117.8521395,United States,,United States
swiss finance institute,"Walchestrasse 9, 8006 Zürich, Switzerland",47.379884,8.54228,Switzerland,,Switzerland
comenius university in bratislava,"Šafárikovo námestie 6, 814 99 Bratislava-Staré Mesto, Slovakia",48.1411918,17.1159646,Slovakia,,Slovakia
centro de investigacion en matematicas,"De Jalisco s/n, Valenciana, 36023 Guanajuato, Gto., Mexico",21.042055,-101.2612028,Mexico,,Mexico
universiti teknologi petronas,"Persiaran UTP, 32610 Seri Iskandar, Perak, Malaysia",4.3837791,100.970918,Malaysia,,Malaysia
indraprastha institute of information technology,"Okhla Industrial Estate, Phase III, near Govind Puri Metro Station, Shyam Nagar, Okhla Industrial Area, New Delhi, Delhi 110020, India",28.5455143,77.2730604,India,,India
bernard van leer foundation,"Lange Houtstraat 2, 2511 CW Den Haag, Netherlands",52.0807884,4.3156968,Netherlands,,Netherlands
universidad san francisco de quito,"Campus Cumbayá, Diego de Robles s/n, Quito 170901, Ecuador",-0.19689,-78.4357443,Ecuador,,Ecuador
buckinghamshire new university,"Queen Alexandra Rd, High Wycombe HP11 2JZ, UK",51.6278909,-0.7532815,United Kingdom,,United Kingdom
university hospital southampton nhs foundation trust,"51 Monroe St #1700, Rockville, MD 20850, USA",39.083859,-77.1478872,United States,,United States
universidade positivo,"R. Prof. Pedro Viriato Parigot de Souza - Cidade Industrial De Curitiba, Curitiba - PR, 80740-050, Brazil",-25.4460312,-49.3559145,Brazil,,Brazil
douglas mental health university institute,"6875 Boulevard LaSalle, Verdun, QC H4H 1R3, Canada",45.4426675,-73.5851303,Canada,,Canada
chicago state university,"9501 S King Dr, Chicago, IL 60628, USA",41.7179579,-87.6093721,United States,,United States
pilot university of colombia,"Cl. 45 #8-14, Comuna Chapinero, Bogotá, Colombia",4.6319163,-74.0650705,Colombia,,Colombia
university of trier,"Universitätsring 15, 54296 Trier, Germany",49.7457817,6.6884495,Germany,,Germany
cardiff metropolitan university,"Llandaff Campus, Western Ave, Cardiff CF5 2YB, UK",51.4957427,-3.21252,United Kingdom,,United Kingdom
university of havana,"Havana, Cuba",23.1368405,-82.3815061,Cuba,,Cuba
xi an jiaotong liverpool university,"Wuzhong District, Suzhou, China",31.274822,120.738094,China,,China
wroclaw medical university,"Rektorat, wybrzeże Ludwika Pasteura 1, 50-367 Wrocław, Poland",51.1089147,17.0688865,Poland,,Poland
empire state aerosciences museum,"250 Rudy Chase Dr, Glenville, NY 12302, USA",42.8603081,-73.9323296,United States,,United States
carthage college,"2001 Alford Park Dr, Kenosha, WI 53140, USA",42.6238133,-87.8198185,United States,,United States
williams college,"880 Main St, Williamstown, MA 01267, USA",42.7128843,-73.2031395,United States,,United States
california air resources board,"1001 I St #2828, Sacramento, CA 95814, USA",38.5817815,-121.492003,United States,,United States
alberta energy,"856 Homer St, Vancouver, BC V6B 2W5, Canada",49.2789333,-123.1174333,Canada,,Canada
oporto polytechnic institute,"R. Dr. Roberto Frias, 4200-465 Porto, Portugal",41.1812781,-8.5967887,Portugal,,Portugal
bishop grosseteste university,"Longdales Rd, Lincoln LN1 3DY, UK",53.2437917,-0.5364822,United Kingdom,,United Kingdom
mimos,"95-07 98th St, Ozone Park, NY 11416, USA",40.6877489,-73.8442309,United States,,United States
anhui university of finance and economics,"243 Hong Ye Lu, Bengshan Qu, Bengbu Shi, Anhui Sheng, China",32.924116,117.395903,China,,China
murnmansk state technical university,"Sportivnaya Ulitsa, 13, Murmansk, Murmanskaya oblast', Russia, 183010",68.953819,33.0627834,Russia,,Russia
pazmany peter catholic university,"Budapest, Szentkirályi u. 28, 1088 Hungary",47.4916,19.0657999,Hungary,,Hungary
center for advanced studies research and development in sardinia,"Loc. Piscina Manna, 09010 Pula CA, Italy",38.9900665,8.9360551,Italy,,Italy
women s christian college chennai,"51, College Rd, Opp Standard Chartered Bank, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",13.069992,80.2491841,India,,India
maritime university of szczecin,"Wały Chrobrego 1-2, 70-500 Szczecin, Poland",53.429105,14.5641279,Poland,,Poland
henry ford health system,"29200 Schoolcraft, Livonia, MI 48150, USA",42.3843776,-83.3302101,United States,,United States
petra christian university,"Jl. Siwalankerto No.121-131, Siwalankerto, Kec. Wonocolo, Kota SBY, Jawa Timur 60236, Indonesia",-7.3395572,112.7375639,Indonesia,,Indonesia
university of arkansas at monticello,"346 University Dr, Monticello, AR 71656, USA",33.5917582,-91.8135589,United States,,United States
world meteorological organization,,,,,Switzerland,Switzerland
peninsular malaysia,"Peninsular Malaysia, Malaysia",3.9743406,102.4380581,Malaysia,,Malaysia
universidade federal rural do rio de janeiro,"Rodovia BR 465, Km 07, s/n Zona Rural, Seropédica - RJ, 23890-000, Brazil",-22.7690305,-43.6869836,Brazil,,Brazil
universidade federal do estado do rio de janeiro,"Av. Pasteur, 296 - Urca, Rio de Janeiro - RJ, 22290-250, Brazil",-22.9529041,-43.1732144,Brazil,,Brazil
technical university of sofia,"bulevard ""Sveti Kliment Ohridski"" 8, 1756 Studentski Kompleks, Sofia, Bulgaria",42.6570438,23.3553787,Bulgaria,,Bulgaria
british heart foundation,"12-14 Church St, Enfield EN2 6BE, UK",51.6519383,-0.0832255,United Kingdom,,United Kingdom
teesside university,"Campus Heart, Southfield Rd, Middlesbrough TS1 3BX, UK",54.5706383,-1.2352416,United Kingdom,,United Kingdom
coppin state university,"2500 W North Ave, Baltimore, MD 21216, USA",39.3126011,-76.6579973,United States,,United States
american international university bangladesh,"Kuratoli Road, ঢাকা 1229, Bangladesh",23.8221242,90.4274063,Bangladesh,,Bangladesh
latvia university of agriculture,"Lielā iela 2, Jelgava, LV-3001, Latvia",56.65536,23.7331707,Latvia,,Latvia
liceo de cagayan university,"Rodolfo N. Pelaez Blvd, Cagayan de Oro, 9000 Misamis Oriental, Philippines",8.4860292,124.6391727,Philippines,,Philippines
metropolitan state university of denver,"890 Auraria Pkwy, Denver, CO 80204, USA",39.7431729,-105.0062626,United States,,United States
brandon university,"270 18th St, Brandon, MB R7A 6A9, Canada",49.845352,-99.962159,Canada,,Canada
incheon national university,"119 Academy-ro, Songdo 1(il)-dong, Yeonsu-gu, Incheon, South Korea",37.3750548,126.6328998,South Korea,,South Korea
philippines department of health,,,,,Philippines,Philippines
college of charleston,"66 George St, Charleston, SC 29424, USA",32.7834441,-79.9370018,United States,,United States
british university in dubai,"Block 11, 1st and 2nd Floor, Dubai International Academic City - Academic City - Dubai - United Arab Emirates",25.12514,55.41009,United Arab Emirates,,United Arab Emirates
university of north carolina at asheville,"Karpen Hall, Asheville, NC 28804, USA",35.6163159,-82.5661391,United States,,United States
polytechnic institute of cavado and ave,"Campus do IPCA - Lugar do Aldão, 4750-810 Vila Frescainha (São Martinho), Portugal",41.5369972,-8.627731,Portugal,,Portugal
portland community college,"12000 SW 49th Ave, Portland, OR 97219, USA",45.4386789,-122.7314233,United States,,United States
university of applied sciences stuttgart,"Schellingstraße 24, 70174 Stuttgart, Germany",48.7803251,9.1726453,Germany,,Germany
sylhet agricultural university,"Alurtol Road, Sylhet, Bangladesh",24.910065,91.9006338,Bangladesh,,Bangladesh
cleveland clinic,"5133 Shavano Ct, Windsor, CO 80550, USA",40.4455594,-104.9517028,United States,,United States
amrita vishwa vidyapeetham,"Amritanagar, Ettimadai, Tamil Nadu 641112, India",10.9026791,76.9006279,India,,India
shahrekord university of medical sciences,"Shahrekord, Chaharmahal and Bakhtiari Province, Iran",32.356851,50.9124621,Iran,,Iran
university of hyogo,"8-chōme-2-1 Gakuen Nishimachi, Nishi-ku, Kobe, Hyogo 651-2197, Japan",34.6783119,135.0521401,Japan,,Japan
infosys,"2300 Cabot Dr, Lisle, IL 60532, USA",41.8104599,-88.0979372,United States,,United States
university of dammam,"King Faisal Road, King Faysal University, Dammam 34212, Saudi Arabia",26.3928001,50.1925873,Saudi Arabia,,Saudi Arabia
university of perpetual help system dalta,"Alabang–Zapote Road, Almanza Uno, Las Pinas, 1740 Metro Manila, Philippines",14.4508901,120.9851736,Philippines,,Philippines
university of gdansk,"Jana Bażyńskiego 8, 80-309 Gdańsk, Poland",54.3961355,18.5743202,Poland,,Poland
russian state geological prospecting university,"Miklukho-Maklaya ul., 23, Moskva, Russia, 117485",55.649458,37.5126189,Russia,,Russia
avans university of applied sciences,"Onderwijsboulevard 215, 5223 DE 's-Hertogenbosch, Netherlands",51.6885178,5.2866376,Netherlands,,Netherlands
cyprus university of technology,"Archiepiskopou Kyprianou 30, Limassol 3036, Cyprus",34.675141,33.044167,Cyprus,,Cyprus
chung ang university,"84 Heukseok-ro, Heukseok-dong, Dongjak-gu, Seoul, South Korea",37.5050881,126.9571012,South Korea,,South Korea
drake university,"2507 University Ave, Des Moines, IA 50311, USA",41.6030995,-93.6546481,United States,,United States
space telescope science institute,"3700 San Martin Dr, Baltimore, MD 21218, USA",39.3327417,-76.6233669,United States,,United States
london south bank university,"103 Borough Rd, London SE1 0AA, UK",51.4978871,-0.1020018,United Kingdom,,United Kingdom
curtin university sarawak,"CDT 250, Lutong, 98009 Miri, Sarawak, Malaysia",4.512845,114.017669,Malaysia,,Malaysia
university of the gambia,"Kanifing, Serrekunda, The Gambia",13.4602792,-16.6766543,The Gambia,,The Gambia
nepal academy of science and technology,"Godawari Sadak, Lalitpur 44700, Nepal",27.6561031,85.3276755,Nepal,,Nepal
glendon college,"2275 Bayview Ave, North York, ON M4N 3M6, Canada",43.7279474,-79.3779554,Canada,,Canada
statistics canada,"150 Tunney's Pasture Driveway, Ottawa, ON K1A 0T6, Canada",45.4057254,-75.7340232,Canada,,Canada
novosibirsk state technical university,"Ulitsa Nemirovicha-Danchenko, 136, Novosibirsk, Novosibirskaya oblast', Russia, 630087",54.9870631,82.9150706,Russia,,Russia
janssen pharmaceutica,"43 Heatherbrae Cir, Little Rock, AR 72223, USA",34.796146,-92.442832,United States,,United States
vasil levski national military university,"Bulgaria Blvd. 76, 5000 Industrial zone, Veliko Tarnovo, Bulgaria",43.08223,25.60191,Bulgaria,,Bulgaria
university of ruse,"ul. ""Studentska"" 8, 7017 Studentski grad, Ruse, Bulgaria",43.854554,25.970175,Bulgaria,,Bulgaria
pan atlantic university,"Lekki-Epe Expressway, Ibeju-Lekki, Lagos, Nigeria",6.4872553,3.8553506,Nigeria,,Nigeria
hospitais da universidade de coimbra,"Praceta Professor Mota Pinto, 3004-561 Coimbra, Portugal",40.2208499,-8.4128753,Portugal,,Portugal
derriford hospital,"Derriford Rd, Plymouth PL6 8DH, UK",50.4166994,-4.116408,United Kingdom,,United Kingdom
rabin medical center,"636 Broadway #218, New York, NY 10012, USA",40.7261135,-73.9956147,United States,,United States
waterford institute of technology,"Cork Rd, Waterford, Ireland",52.2460592,-7.1387045,Ireland,,Ireland
igbinedion university okada,"Mission Rd, Okada, Benin City, Nigeria",6.345719,5.628994,Nigeria,,Nigeria
university of management and technology,"1901 Fort Myer Dr #700, Arlington, VA 22209, USA",38.897442,-77.072047,United States,,United States
universidade federal de vicosa,"Av. Peter Henry Rolfs, s/n - Campus Universitário, Viçosa - MG, 36570-900, Brazil",-20.7610693,-42.8701632,Brazil,,Brazil
center for excellence in education,"8201 Greensboro Dr Suite #215, McLean, VA 22102, USA",38.9222964,-77.2273149,United States,,United States
united nations industrial development organization,"New York, NY 10017, USA",40.7488758,-73.9680091,United States,,United States
udayana university,"Kampus Bukit, Jl. Raya Kampus Unud Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",-8.7982727,115.1723921,Indonesia,,Indonesia
institute for geosciences and natural resources,,,,,Germany,Germany
mymensingh medical college,"Char Para, Medical Rd, Mymensingh 2200, Bangladesh",24.7415322,90.4089228,Bangladesh,,Bangladesh
shahid chamran university of ahvaz,"Ahvaz, Khuzestan Province, Iran",31.3099968,48.659151,Iran,,Iran
uludag university,"Özlüce Görükle Kampüsü, Özlüce, 16059 Nilüfer/Bursa, Turkey",40.2264025,28.8748357,Turkey,,Turkey
islamic university of indonesia,"Jl. Kaliurang No.Km. 14,5, Krawitan, Umbulmartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",-7.6878285,110.4132472,Indonesia,,Indonesia
universiti malaysia sarawak,"Jalan Datuk Mohammad Musa, 94300 Kota Samarahan, Sarawak, Malaysia",1.4649219,110.4268549,Malaysia,,Malaysia
syngenta,"410 Swing Rd, Greensboro, NC 27409, USA",36.0654467,-79.9096536,United States,,United States
veterinary college mathura,"Agra Rd, Mathura Cantonment, Mathura, Uttar Pradesh 281001, India",27.4605814,77.7010461,India,,India
pontificia universidade catolica de campinas,"354 - R. Dom Paulo de Társo Campos, 234 - Parque dos Jacarandás, Campinas - SP, 13086, Brazil",-22.8321885,-47.0506347,Brazil,,Brazil
medical university of vienna,"Spitalgasse 23, 1090 Wien, Austria",48.2196989,16.3515215,Austria,,Austria
universidad peruana de ciencias aplicadas,"Prolongación Primavera 2390, Lima 15023, Peru",-12.104061,-76.962902,Peru,,Peru
open university of sri lanka,"50 Stone Rd E, Guelph, ON N1G 2W1, Canada",43.5327217,-80.2261804,Canada,,Canada
college montmorency,"475 Boulevard de l'Avenir, Laval, QC H7N 5H9, Canada",45.5594019,-73.7184584,Canada,,Canada
joseph ayo babalola university,"Kilometre, 36 Akure Ilesha Rd, Ipo Arakeji, Ilesa, Nigeria",7.4165376,4.9650992,Nigeria,,Nigeria
kaist,"291 Daehak-ro, Eoeun-dong, Yuseong-gu, Daejeon, South Korea",36.3721427,127.36039,South Korea,,South Korea
mizan tepi university,"21 Tepi bushira, Tepi, Ethiopia",7.1966596,35.4288797,Ethiopia,,Ethiopia
bonn rhein sieg university of applied sciences,"Grantham-Allee 20, 53757 Sankt Augustin, Germany",50.7804024,7.1820919,Germany,,Germany
devi ahilya vishwavidyalaya,"Nalanda Campus, R. N. T., Rabindranath Tagore Marg, Chhoti Gwaltoli, South Tukoganj, Indore, Madhya Pradesh 452001, India",22.7163595,75.8719134,India,,India
american planning association,"205 Michigan Ave # 1200, Chicago, IL 60601, USA",41.8859674,-87.6235552,United States,,United States
institut superieur de l aeronautique et de l espace,"10 Avenue Edouard Belin, 31055 Toulouse, France",43.5658575,1.4745945,France,,France
west visayas state university,"Luna St, La Paz, Iloilo City, 5000 Iloilo, Philippines",10.7136662,122.5623529,Philippines,,Philippines
health promotion board,"900 University Blvd N, Jacksonville, FL 32211, USA",30.3295308,-81.605265,United States,,United States
kangwon national university,"1 Gangwondaehak-gil, Hyoja-dong, Chuncheon, Gangwon-do, South Korea",37.8694561,127.7444707,South Korea,,South Korea
college of tropical agriculture and human resources,"3050 Maile Way, Honolulu, HI 96822, USA",21.3017409,-157.8167491,United States,,United States
amgen,"4 Parkway N #150, Deerfield, IL 60015, USA",42.1622774,-87.8804846,United States,,United States
national institute of industrial engineering,"Vihar Lake Rd, near The Residence Hotel, NITIE Admin Block, Powai, Mumbai, Maharashtra 400087, India",19.1393245,72.9013583,India,,India
hanoi national university of education,"136 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội 10000, Vietnam",21.037471,105.7833628,Vietnam,,Vietnam
universidade federal de mato grosso,"R. Quarenta e Nove, 2367 - Boa Esperança, Cuiabá - MT, 78060-900, Brazil",-15.6122341,-56.0696979,Brazil,,Brazil
babol noshirvani university of technology,"Mazandaran Province, Babol, Shariati St, Iran",36.5611415,52.6805769,Iran,,Iran
divine word university,"Madang, Papua New Guinea",-5.2248321,145.7925653,Papua New Guinea,,Papua New Guinea
pacific environment,"473 Pine St #3, San Francisco, CA 94104, USA",37.7916809,-122.403629,United States,,United States
mewar university,"NH - 79, Gangarar, Rajasthan 312901, India",25.0329877,74.6354721,India,,India
the society of hospital pharmacists of australia,"4500 E W Hwy #900, Bethesda, MD 20814, USA",38.984718,-77.091199,United States,,United States
repatriation general hospital,"216 Daws Rd, Daw Park SA 5041, Australia",-34.991183,138.5881468,Australia,,Australia
turku university hospital,"Kiinamyllynkatu 4-8, 20521 Turku, Finland",60.4531506,22.2915922,Finland,,Finland
national institute of design,"Opposite Tagore Hall, Rajnagar Society, Paldi, Ahmedabad, Gujarat 380007, India",23.0110378,72.5697291,India,,India
building and road research institute,"Ejisu, Ghana",6.7102202,-1.5274909,Ghana,,Ghana
baylor university,"1311 S 5th St, Waco, TX 76706, USA",31.5488923,-97.1130573,United States,,United States
international foundation for electoral systems,"2011 Crystal Dr, Arlington, VA 22202, USA",38.8556067,-77.0485192,United States,,United States
universidade federal de rondonia,"Av. Pres. Dutra, n° 2965 - Centro, Porto Velho - RO, 76801-974, Brazil",-8.763509,-63.906278,Brazil,,Brazil
morton arboretum,"The Morton Arboretum, 4100 IL-53, Lisle, IL 60532, USA",41.816367,-88.0548607,United States,,United States
universidade catolica dom bosco,"Universidade Catolica Dom Bosco - Seminário, Campo Grande - MS, 79117-010, Brazil",-20.4078891,-54.6190474,Brazil,,Brazil
technische hochschule,"North Ave NW, Atlanta, GA 30332, USA",33.7756178,-84.396285,United States,,United States
university of guadalajara,"Av Juárez 976, Col Americana, Americana, 44160 Guadalajara, Jal., Mexico",20.6752205,-103.3590317,Mexico,,Mexico
harper adams university,"Edgmond, Newport TF10 8NB, UK",52.7794512,-2.4271346,United Kingdom,,United Kingdom
suleyman demirel university,"Çünür, Süleyman Demirel Cd., 32260 Merkez/Isparta, Turkey",37.8292005,30.5263249,Turkey,,Turkey
open university malaysia,"Menara OUM, Block C, Kelana Centre Point, Jalan SS 7/19, SS7, 47301 Petaling Jaya, Selangor, Malaysia",3.0999569,101.5920997,Malaysia,,Malaysia
university of virginia health system,"1215 Lee St, Charlottesville, VA 22903, USA",38.0311525,-78.49887,United States,,United States
uab hospital,"1802 6th Ave S, Birmingham, AL 35233, USA",33.5066166,-86.8031287,United States,,United States
graphic era university,"566/6, Bell Road, Society Area, Clement Town, Dehradun, Uttarakhand 248002, India",30.2684678,77.9937258,India,,India
government engineering college sreekrishnapuram,"Government Engineering College Rd, Mannampatta, Sreekrishnapuram, Kerala 678633, India",10.9034069,76.4344724,India,,India
stavropol state agrarian university,"Zootekhnicheskiy Pereulok, 12, Stavropol, Stavropolskiy kray, Russia, 355017",45.0369527,41.9611243,Russia,,Russia
american india foundation,"216 E 45th St, New York, NY 10017, USA",40.752133,-73.9722299,United States,,United States
xavier institute of management bhubaneswar,"Xavier Square, Rail Vihar, Jayadev Vihar, Bhubaneswar, Odisha 751013, India",20.3082296,85.818868,India,,India
comision nacional para el conocimiento y uso de la biodiversidad,,,,,Mexico,Mexico
engineering and physical sciences research council,"Polaris House, N Star Ave, Swindon SN2 1ET, UK",51.5668895,-1.7845378,United Kingdom,,United Kingdom
international union of geological sciences,,,,,China,China
geological society of london,"3300 Penrose Pl, Boulder, CO 80301, USA",40.0376166,-105.2504892,United States,,United States
university of east sarajevo,"Vuka Karadžića 30, Lukavica 71126, Bosnia and Herzegovina",43.8233697,18.3744675,Bosnia and Herzegovina,,Bosnia and Herzegovina
bishop heber college,"Vayalur Rd, Puthur, Tiruchirappalli, Tamil Nadu 620017, India",10.8147938,78.673492,India,,India
kingston business school,"Campus, Kingston Hill, Kingston upon Thames KT2 7LB, UK",51.4297011,-0.2651203,United Kingdom,,United Kingdom
university of picardie jules verne,"CS 52501 80025 Cedex, Chemin du Thil, 80025 Amiens, France",49.8761492,2.2655255,France,,France
national oceanography centre,"European Way, Southampton SO14 3ZH, UK",50.8930377,-1.3948783,United Kingdom,,United Kingdom
croydon university hospital,"530 London Rd, Thornton Heath CR7 7YE, UK",51.3892939,-0.1111861,United Kingdom,,United Kingdom
korea development institute,"South Korea, Yeongi-gun, Seo-myeon, 한국개발연구원 세종특별자치시 남세종로 263(반곡동",36.563744,127.2533169,South Korea,,South Korea
new york academy of medicine,"1216 5th Ave, New York, NY 10029, USA",40.7921,-73.9523826,United States,,United States
ontario institute for cancer research,"661 University Ave Suite 510, Toronto, ON M5G 0A3, Canada",43.6594185,-79.3897787,Canada,,Canada
